index;Batch;VFA_geq;TAN_geq;Unnamed: 4;Unnamed: 5
Medoc_20191216_1;;;;;
Limovents_20200324_1;Benchmark_SRO;0.390;Nan;;
Methavert_20200330_1;Benchmark_SRO;0.572;3.152;;
Methavert_20200511_1;Benchmark_SRO;0.218;2.008;;
Gatinais_20200512_1;Benchmark_SRO;0.000;Nan;;
Limovents_20200519_1;Benchmark_SRO;0.373;Nan;;
Gatinais_20200616_1;Benchmark_SRO;0.000;Nan;;
Medoc_20200616_5;Benchmark_SRO;Nan;Nan;;
Methavert_20200623_1;Benchmark_SRO;0.136;1.519;;
StepNantes_20200630_1;Benchmark_SRO;0.000;1.681;;
ClerVerts_20200630_1;Benchmark_SRO;0.302;3.690;;
Gatinais_20200630_1;Benchmark_SRO;0.000;Nan;;
Limovents_20200630_1;;;;;
Medoc_20200630_1;Benchmark_SRO;Nan;Nan;;
MethabelAir_20200713_1;;;;;
Limovents_20200713_2;;;;;
Ensaia_20200728_1;Benchmark_SRO;0.068;Nan;;
Methavert_20200728_1;Benchmark_SRO;0.024;Nan;;
ClerVerts_20200728_2;Benchmark_SRO;0.104;3.660;;
Medoc_20200728_2;Benchmark_SRO;1.068;Nan;;
Limovents_20200804_4;;;;;
StepNantes_20200811_1;Benchmark_SRO;0.016;1.555;;
MethabelAir_20200811_1;Benchmark_SRO;2.390;2.212;;
Limovents_20200818_2;Benchmark_SRO;0.466;Nan;;
Limovents_20200901_1;;;;;
StepNantes_20200902_1;Benchmark_SRO;0.732;1.576;;
MethabelAir_20200907_1;Benchmark_SRO;4.437;2.071;;
StepNantes_20200908_1;Benchmark_SRO;2.929;Nan;;
Ensaia_20200909_2;Benchmark_SRO;Nan;Nan;;
Medoc_20200909_6;Benchmark_SRO;0.585;1.648;;
Menez_Avel_20200915_1;Benchmark_SRO;1.354;2.256;;
Limovents_20200915_1;Benchmark_SRO;0.000;2.148;;
Medoc_20200921_3;Benchmark_SRO;1.933;2.202;;
Ensaia_20200922_1;Benchmark_SRO;Nan;Nan;;
MethabelAir_20200922_1;Benchmark_SRO;13.156;2.467;;
Limovents_20200929_1;;;;;
Biowatt_20201027_1;Benchmark_SRO;Nan;Nan;;
Limovents_20201027_1;;;;;
MethabelAir_20201102_1;;;;;
Biowatt_20201103_1;Benchmark_SRO;Nan;Nan;;
MethabelAir_20201109_2;;;;;
MethabelAir_20201124_1;;;;;
Biowatt_20201201_1;Benchmark_SRO;Nan;Nan;;
MethabelAir_20210201_1;;;;;
Methavert_20210208_1;Benchmark_officieux;0.00;2.80;;
MethabelAir_20210208_1;Benchmark_officieux;0.00;2.10;;
Methavert_20210208_2;Benchmark_officieux;Nan;2.86;;
Methavert_20210308_1;Benchmark_officieux;Nan;2.65;;
Methavert_20210308_2;Benchmark_officieux;Nan;2.44;;
Methavert_20210322_1;Benchmark_officieux;Nan;2.46;;
Methavert_20210322_2;Benchmark_officieux;0.00;2.43;;
Methavert_20210406_1;Benchmark_officieux;0.00;2.50;;
Methavert_20210406_2;Benchmark_officieux;Nan;2.56;;
Methavert_20210419_1;Benchmark_officieux;Nan;2.4;;
Methavert_20210503_1;Benchmark_officieux;Nan;2.47;;
Methavert_20210517_1;Benchmark_officieux;Nan;2.46;;
Methavert_20210517_2;Benchmark_officieux;Nan;2.47;;
Biowatt_20210518_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Biowatt_20210525_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Biowatt_20210528_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Methavert_20210531_1;Benchmark_officieux;Nan;2.47;;
Methavert_20210531_2;Benchmark_officieux;Nan;2.34;;
Biowatt_20210601_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Biowatt_20210610_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
MethabelAir_20210614_1;Benchmark_officieux;0.00;2.00;;
Biowatt_20210616_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Biowatt_20210622_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Biowatt_20210629_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Biowatt_20210702_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Biowatt_20210706_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Gatinais_20210706_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Biowatt_20210713_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Biowatt_20210719_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Gatinais_20210721_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Gatinais_20210727_2;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Biowatt_20210730_1;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Gatinais_20210730_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Gatinais_20210803_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Biowatt_20210803_2;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Gatinais_20210810_2;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Gatinais_20210823_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Biowatt_20210825_4;Biowatt;0.5;3.5;VFA et TAN sont données moyennes manuelle;
Gatinais_20210831_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Biowatt_20210902_1;Biowatt;1.5;3.5;VFA et TAN sont données moyennes manuelle;
Gatinais_20210903_2;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Gatinais_20210907_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Biowatt_20210909_2;Biowatt;1.5;3.5;VFA et TAN sont données moyennes manuelle;
Gatinais_20210913_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Gatinais_20210917_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Biowatt_20210917_2;;;;;
Methavert_20210922_1;Methavert;;1.8;TAN sont données moyennes manuelle;
Methavert_20210922_2;Methavert;;1.8;TAN sont données moyennes manuelle;
Gatinais_20210923_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Methavert_20210927_1;Methavert;;1.9;TAN sont données moyennes manuelle;
Methavert_20210927_2;Methavert;;1.9;TAN sont données moyennes manuelle;
Gatinais_20210928_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Methavert_20210929_1;Methavert;;1.9;TAN sont données moyennes manuelle;
Methavert_20210930_1;Methavert;;1.9;TAN sont données moyennes manuelle;
Gatinais_20210930_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Methavert_20210930_2;Methavert;;1.9;TAN sont données moyennes manuelle;
Methavert_20211001_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211001_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211001_3;;;;;
Methavert_20211002_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211002_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211003_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211003_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211004_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211004_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211005_1;Methavert;;2;TAN sont données moyennes manuelle;
Gatinais_20211005_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Methavert_20211005_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211006_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211006_4;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211007_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211007_4;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211008_1;Methavert;;2;TAN sont données moyennes manuelle;
Gatinais_20211008_1;Gatinais;0.7;2.6;VFA et TAN sont données moyennes manuelle;
Methavert_20211008_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211009_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211009_2;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211010_1;Methavert;;2;TAN sont données moyennes manuelle;
Methavert_20211010_2;Methavert;;2;TAN sont données moyennes manuelle;
