"name","VFA_geq","TAN_geq","IC_geq","FOS_geq","TAC_geq","FOS_TAC","total_alcalinity","VFA_mmol","TAN_mmol","IC_mmol","pH_initial","conductivity_initial","0_1","0_2","0_3","101_0","101_1","101_2","101_3","101_4","101_5","102_0","102_1","102_2","102_3","102_4","102_5","103_0","103_1","103_2","103_3","103_4","103_5","201_pKa_acetatic/acetate","201_pKa_H2CO3/HCO3","201_pKa_HCO3/CO32","201_pKa_fb_vfa_1","201_pKa_fb_vfa_2","201_pKa_fb_nh4_1","201_pKa_fb_nh4_2","202_pKa_acetatic/acetate","202_pKa_NH4/NH3","202_pKa_unknown_pH6","202_pKa_fb_vfa_1","202_pKa_fb_vfa_2","203_pKa_acetatic/acetate","203_pKa_NH4/NH3","203_pKa_unknown_pH6","203_pKa_fb_vfa_1","203_pKa_fb_vfa_2","203_pKa_fb_nh4_1","203_pKa_fb_nh4_2","204_pKa_acetatic/acetate","204_pKa_NH4/NH3","204_pKa_unknown_pH6","204_pKa_fb_vfa_1","204_pKa_fb_vfa_2","204_pKa_fb_nh4_1","204_pKa_fb_nh4_2","301_time","301_acetatic/acetate","301_H2CO3/HCO3","301_HCO3/CO32","301_fb_vfa_1","301_fb_vfa_2","301_fb_nh4_1","301_fb_nh4_2","302_time","302_acetatic/acetate","302_NH4/NH3","303_time","303_acetatic/acetate","303_NH4/NH3","303_unknown_pH6","303_fb_vfa_1","303_fb_vfa_2","303_fb_nh4_1","303_fb_nh4_2","303_lambda_unknown_pH6","304_if_fb","401_1","402_1","501_coef","501_R2","502_RMSE","503_error_VFA","503_error_pH6","503_error_VFA_pH6","503_error_TAN","503_error_global","504_distance_pka_VFA","504_distance_pka_TAN"
"Medoc_20191216_1",0.150080349206906,0.036752472248289,0.594260818568161,0.05782266563551,0.396173879045441,0.145952746240691,0.410874556749384,2.50133915344843,2.62517658916349,11.8852163713632,11.2355,0.38106196,"SNAC121904","11/12/19",1,"True",,,,,"Noise:47.2143. Treshold: 300. s: [0.0179]","True",,,,,"Noise:20.0. Treshold: 100. s: [0.0099]","False",,,"Shift in pH 7.4-10.6. Derivative value 0.059 higher than 0.05","Calibration lost: strictly positive for pH>8. Please control it","Noise:0.0238. Treshold: 100. s: 0.2",,,,8.81,3.66,,,,,,3.69,,,,,8.21,,,,4.8,,6.03,3.69,,,,"0 days 00:00:21.957348",0.00147,0.01188,,,,,,,,,"0 days 00:00:55.159958",0.00245,0.00258,0.00027,,,,,14.05547,"yes_run",,,,,0.01949,0.00038,0.00012,0.0003,0.00076,0.00204,1.126,
"Limovents_20200324_1",0.389940373441064,,18.4084147833367,5.90286743425299,17.1213543218323,0.344766384907178,18.6220833305407,6.49900622401773,,368.168295666733,7.7392,2.0582648,"SNAC121907","16/03/20",1.68,"True",,,,,"Noise:10.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:20.0. Treshold: 100. s: [0.0099]","False",,"too many pics in important section(s) of the signal","Shift in pH 2.9-3.0. Derivative value 0.057 higher than 0.05",,"Noise:0.0088. Treshold: 100. s: 0.2",,6.21,,,,,,,,5.95,9.79,4.18,5.18,9.34,5.54,9.43,,,,4.8,9.31,5.95,9.79,4.18,,,"0 days 00:03:21.882949",0,0.21914,,,,,,,,,"0 days 00:12:09.698095",0.00296,,0.01911,0.08739,,,,1,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.01465,0.0009,0.00153,0.00134,0.00395,0.0035,0.291,0.553
"Methavert_20200330_1",0.257580099545445,3.21924372469139,17.8486592729479,5.3310374158797,19.2204937390553,0.277362147312961,20.5758422346179,4.29300165909076,229.9459803351,356.973185458959,7.7338,2.04957456,"SNAC111912","30/03/20",2.83,"True",,,,,"Noise:15.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:25.0. Treshold: 100. s: [0.0099]","True",,,,,"Noise:0.0142. Treshold: 100. s: 0.2",,6.13,,,,,,,9.6,6.55,,,,9.4,,3.04,,,,4.8,9.6,6.55,,,,,"0 days 00:02:10.342502",0,0.12613,,,,,,,,,"0 days 00:06:36.166287",0.00128,0.06865,0.00488,,,,,9.042,"yes_run",,,,,0.01209,0.00058,0.00077,0.0007,0.00135,0.0012,0.156,0.124
"Methavert_20200511_1",0.110172928055207,2.15490264644698,11.6125450080654,3.82796030111226,13.0543666196253,0.293232173773754,14.0275768656708,1.83621546758678,153.921617603356,232.250900161308,7.798,2.04984704,"SNAC111912","30/04/20",1.91,"True",,,,,"Noise:13.8722. Treshold: 300. s: [0.0149]","True",,,,,"Noise:31.5288. Treshold: 100. s: [0.0175]","True",,,,,"Noise:0.0058. Treshold: 100. s: 0.05",,6.19,,,,,,,9.76,,6.72,,,9.51,,5.74,,,,4.8,9.76,6.11,6.72,,,,"0 days 00:02:07.214070",0,0.12159,,,,,,,,,"0 days 00:08:16.879580",0.00081,0.06811,0.00048,0.00741,,,,1.75682,"yes_run",,,,,0.00395,0.00044,0.00053,0.0005,0.00105,0.00094,0.15,0.211
"Gatinais_20200512_1",0.359157734303643,,17.1411742800881,16.2350565204151,22.2234258411627,0.730537975398202,26.3509825836411,5.98596223839405,,342.823485601761,8.0949,0.89955216,"SNAC121901","12/05/20",1.97,"True",,,,,"Noise:83.8343. Treshold: 300. s: [0.0239]","True",,,,,"Noise:29.0791. Treshold: 100. s: [0.0216]","True",,,,,"Noise:0.0046. Treshold: 100. s: 0.05",4.91,6.21,,4.38,3.18,,,,,5.78,9.91,,,,5.5,7.61,,9.91,,4.8,9.32,5.78,9.91,,,,"0 days 00:04:10.781472",0.02315,0.17402,,,,,,,,,"0 days 00:11:06.966437",0.00214,,0.03323,0.06526,,,,7.89818,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00281,0.00142,0.00191,0.00176,0.0019,0.00478,0.418,0.676
"Limovents_20200519_1",0.372582002268202,2.2053439560076,13.07344478376,5.29201319950757,13.6930893631444,0.386473282921184,15.038516447765,6.20970003780337,157.524568286258,261.468895675199,7.8057,1.45302672,"SNAC121907","12/05/20",1.67,"True",,,,,"Noise:15.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:26.5821. Treshold: 100. s: [0.0153]","False",,,,"Calibration lost: very low variations. Please control it","Noise:0.0017. Treshold: 100. s: 0.005",,6.16,,,,,,,9.5,6.16,,,,,,6.05,,9.92,,4.79,9.5,6.16,,,,,"0 days 00:01:44.706367",0,0.15656,,,,,,,,,"0 days 00:08:07.563995",0.00301,0.07649,0.01123,,,,,1,"yes_run",,,,,0.00048,0.00084,0.00155,0.00132,0.00083,0.00105,0.151,-0.124
"Gatinais_20200616_1",0.337223304299513,,20.8898944091599,18.6335886252942,25.8894018378565,0.719738089817412,30.6267548781855,5.62038840499188,,417.797888183197,7.9691,2.24188944,"SNAC121901","16/06/20",1.88,"True",,,,,"Noise:23.7966. Treshold: 300. s: [0.0116]","True",,,,,"Noise:23.9097. Treshold: 100. s: [0.0121]","True",,,,,"Noise:0.009. Treshold: 100. s: 0.2",4.89,6.36,,,,,,,,5.65,9.67,,,,5.35,7.42,,9.81,,4.79,9.23,5.65,9.67,,,,"0 days 00:04:05.793646",0.01407,0.22223,,,,,,,,,"0 days 00:10:46.105324",0.00202,,0.03494,0.07456,,,,6.03274,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00616,0.00203,0.0033,0.00289,0.00158,0.00483,0.519,0.439
"Medoc_20200616_5",,,10.4267052088549,2.45581981934228,8.19152928540026,0.299799919377604,8.81589025641948,,,208.534104177098,7.4599,1.368672,"SNAC121904","03/06/20",1.99,"True",,,,,"Noise:92.3319. Treshold: 300. s: [0.0101]","False",,"too many pics in important section(s) of the signal",,,"Noise:64.2829. Treshold: 100. s: [0.024]","False",,"too many pics in important section(s) of the signal",,,"Noise:0.0136. Treshold: 100. s: 0.2",,6.18,,,6.87,,,,9.65,6.13,8.86,8.26,4.55,9.43,5.58,9.65,,,8.9,,,,,,,,"0 days 00:01:40.531747",0.0069,0.10479,,,,,,,,,,,,,,,,,,"no_run",,,,,0.03673,,,,,,0.153,
"Methavert_20200623_1",0.031017096046661,1.52648628275974,9.88340668034719,2.87194894532704,11.1366128907933,0.257883521092963,11.8667694023171,0.516951600777685,109.034734482838,197.668133606944,7.8202,1.84329792,"SNAC111912","23/06/20",1.67,"True",,,,,"Noise:28.6834. Treshold: 300. s: [0.0525]","True",,,,,"Noise:49.9871. Treshold: 100. s: [0.0334]","True",,,,,"Noise:0.0128. Treshold: 100. s: 0.2",,6.27,,,,,,,9.68,6.52,,,4.96,9.61,,3.28,,4.7,,4.8,9.68,6.52,,,,,"0 days 00:02:09.707496",0,0.11836,,,,,,,,,"0 days 00:06:45.628298",0.00026,0.05531,0.00285,,,,,15,"yes_run",,,,,0.01077,0.00025,0.00052,0.00042,0.00155,0.00142,0.158,0.077
"StepNantes_20200630_1",0.053610988017606,,5.47864136902452,4.45144564857945,8.23704374799162,0.540417871358862,9.36876721796945,0.8935164669601,,109.57282738049,7.8112,0.74244136,"SNAC111902","29/06/20",1.36,"True",,,,,"Noise:27.2931. Treshold: 300. s: [0.0127]","True",,,,,"Noise:65.8139. Treshold: 100. s: [0.0999]","True",,,,,"Noise:0.0049. Treshold: 100. s: 0.05",,6.18,,3.67,,,,,,5.53,9.74,,,9.42,,4.01,,5.08,,4.8,9.28,5.53,9.74,,,,"0 days 00:02:23.505485",0,0.08056,,,,,,,,,"0 days 00:07:27.695858",0.00053,,0.02013,0.07375,,,,5.01222,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00379,0.00327,0.006,0.00485,0.002,0.00289,0.156,0.508
