index;VFA_geq;TAN_geq;IC_geq;FOS_geq;TAC_geq;FOS_TAC;total_alcalinity;VFA_mmol;TAN_mmol;IC_mmol;pH_initial;conductivity_initial;0_1;0_2;0_3;0_4;0_5;101_0;101_1;101_2;101_3;101_4;101_5;102_0;102_1;102_2;102_3;102_4;102_5;103_0;103_1;103_2;103_3;103_4;103_5;201_pKa_acetatic/acetate;201_pKa_H2CO3/HCO3;201_pKa_HCO3/CO32;201_pKa_fb_vfa_1;201_pKa_fb_vfa_2;201_pKa_fb_nh4_1;201_pKa_fb_nh4_2;202_pKa_acetatic/acetate;202_pKa_NH4/NH3;202_pKa_unknown_pH6;202_pKa_fb_vfa_1;202_pKa_fb_vfa_2;203_pKa_acetatic/acetate;203_pKa_NH4/NH3;203_pKa_unknown_pH6;203_pKa_fb_vfa_1;203_pKa_fb_vfa_2;203_pKa_fb_nh4_1;203_pKa_fb_nh4_2;204_pKa_acetatic/acetate;204_pKa_NH4/NH3;204_pKa_unknown_pH6;204_pKa_fb_vfa_1;204_pKa_fb_vfa_2;204_pKa_fb_nh4_1;204_pKa_fb_nh4_2;301_time;301_acetatic/acetate;301_H2CO3/HCO3;301_HCO3/CO32;301_fb_vfa_1;301_fb_vfa_2;301_fb_nh4_1;301_fb_nh4_2;302_time;302_acetatic/acetate;302_NH4/NH3;303_time;303_acetatic/acetate;303_NH4/NH3;303_unknown_pH6;303_fb_vfa_1;303_fb_vfa_2;303_fb_nh4_1;303_fb_nh4_2;303_lambda_unknown_pH6;304_if_fb;503_RMSE_VFA_pka_th;503_RMSE_pH6_pka_th;503_RMSE_VFA_pH6_pka_th;503_RMSE_TAN_pka_th;503_RMSE_global_pka_th;503_diff_VFA_pka_th;503_diff_pH6_pka_th;503_diff_VFA_pH6_pka_th;503_diff_TAN_pka_th;503_diff_global_pka_th;503_RMSE_VFA_pka_exp;503_RMSE_pH6_pka_exp;503_RMSE_VFA_pH6_pka_exp;503_RMSE_TAN_pka_exp;503_RMSE_global_pka_exp;503_diff_VFA_pka_exp;503_diff_pH6_pka_exp;503_diff_VFA_pH6_pka_exp;503_diff_TAN_pka_exp;503_diff_global_pka_exp;504_distance_pka_VFA;504_distance_pka_TAN;505_VFA_CI;505_TAN_CI
INRA_V1A_20191120_5;1.4436;3.0985;13.0964;7.7761;15.4347;0.5038;17.4117;24.0613;221.3259;261.9283;7.7515;2.2652;2019-11-20_05_SNAC061901_src.csv;SNAC061901;20/11/2019;2;1.23;True;;;;;Noise:25.3251. Treshold: 300. s: [0.0517];True;;;;;Noise:55.3155. Treshold: 100. s: [0.0171];True;;;;;Noise:0.0041. Treshold: 100. s: 0.05;4.54;6.28;;9.53;;;;4.54;9.53;6.28;;;;9.58;;8.06;;7.89;;4.54;9.56;6.28;;;;;0 days 00:02:04.175206;0.00026;0.13096;;;;;;;;;0 days 00:05:47.978546;0.00972;0.08949;0.00507;;;;;6.0045;yes_run;0.00271;0.0005;0.00057;0.00296;0.00256;-0.00021;-0.00012;-0.00013;-0.00038;0;0.00271;0.00049;0.00078;0.0024;0.00256;-0.00021;0;-0.00028;0.0005;0;151;229;;14312
INRA_V1A_20191121_2;3.7797;4.3398;27.6659;11773;24.4507;0.4814;27.4439;62.9957;309.9898;553.3187;7.7396;2.2822;2019-11-21_02_SNAC061901_src.csv;SNAC061901;20/11/2019;1.98;1.34;True;;;;;Noise:281.9944. Treshold: 300. s: [0.0148];True;;;;;Noise:47.9294. Treshold: 100. s: [0.0293];False;;Probable lost of calibration. Too few pics in the signal;;Calibration lost: very low variations. Please control it;Noise:0.0. Treshold: 100. s: 0.005;4.61;;;9.63;5.65;;;4.61;9.63;5.65;;;;;;7.75;;;;4.61;9.63;5.65;;;;;0 days 00:03:46.316618;0.02254;0.27945;;;;;;;;;0 days 00:07:22.529123;0.02366;0.11643;0;;;;;9.71803;yes_run;0.00125;0.00199;0.00163;0.00095;0.00129;-0.0001;-0.00039;0.00028;0.00021;-0.00006;0.00125;0.00217;0.00165;0.00107;0.00129;-0.0001;-0.00011;0.00031;0.00011;-0.00006;153;147;;9187
INRA_V1A_20191122_2;7.5049;2666;21.8669;19.1539;28.2416;0.6782;33.1112;125.0829;190.4305;437.3384;8.2754;0.9991;2019-11-22_02_SNAC061901_src.csv;SNAC061901;20/11/2019;2.01;1.43;True;;;;;Noise:35.3993. Treshold: 300. s: [0.0142];True;;;;;Noise:96.4107. Treshold: 100. s: [0.0943];False;;Probable lost of calibration. Too few pics in the signal;;Calibration lost: very low variations. Please control it;Noise:0.0. Treshold: 100. s: 0.005;;6.58;;9.58;4.48;;;4.48;9.58;6.58;8.61;;;;;7.9;;;;4.48;9.58;6.58;8.61;;;;0 days 00:03:45.413979;0.07564;0.21758;;;;;;;;;0 days 00:15:36.056487;0.04321;0.06579;0.01613;0.00169;;;;14.0236;yes_run;0.0028;0.00253;0.00356;0.00135;0.00272;0.00075;0.00087;0.00174;-0.00043;0.0009;0.0028;0.00196;0.00359;0.00133;0.00272;0.00074;0.00035;0.00157;-0.0004;0.0009;153;115;;7187
INRA_V1A_20191122_5;0.4218;5.0974;25.9481;7.7828;28.7797;0.2704;30.7584;7.0308;364.1063;518.9623;7.8809;0.0978;2019-11-22_15_SNAC061901_src.csv;SNAC061901;20/11/2019;2015;1.39;True;;;;;Noise:20.9744. Treshold: 300. s: [0.0474];True;;;;;Noise:30.2228. Treshold: 100. s: [0.0287];False;;Probable lost of calibration. Too few pics in the signal;;Calibration lost: strictly positive for pH>8. Please control it;Noise:0.0. Treshold: 100. s: 0.005;;6.48;;9.66;;;;;9.66;6.48;;;;;;9.17;;;;4.8;9.66;6.48;;;;;0 days 00:03:04.746991;0;0.25754;;;;;;;;;0 days 00:13:00.657425;0.0025;0.12996;0.0189;;;;;10.48829;yes_run;0.00273;0.00226;0.00226;0.00215;0.00318;0.00041;0.00064;0.00113;-0.00034;0.00078;0.00273;0.00204;0.00241;0.00231;0.00318;0.00041;0.00043;0.0013;-0.00068;0.00078;168;116;;7.25
INRA_V1A_20191125_5;0.9482;2.9965;;;;;;15.8033;214.0383;;7.9104;0.6598;2019-11-25_05_SNAC061901_src.csv;SNAC061901;20/11/2019;1.99;1.31;False;;;;;Noise:441.9444. Treshold: 300. s: [0.001];True;;;;;Noise:42.3907. Treshold: 100. s: [0.0392];False;;too many pics in important section(s) of the signal;Shift in pH 8.2-8.4. Derivative value 1.221 higher than 0.05;;Noise:0.0098. Treshold: 100. s: 0.2;;6.41;;9.61;;;;;9.61;6.41;;;;9.39;6.12;8.3;;;;4.8;9.61;6.41;;;;;;;;;;;;;;;;0 days 00:06:08.530996;0.00603;0.08179;0.00979;;;;;7.50407;yes_run;0.00174;0.00243;0.00208;0.0009;0.00209;-0.00009;0.00058;0.0002;-0.00001;0.00033;0.00174;0.00233;0.00211;0.00084;0.00209;-0.0001;0.00015;0.00014;0.00007;0.00033;0.15;163;;10187
INRA_V1A_20191125_7;3.4879;7.5438;25308;12.8631;27.3103;471;30.5806;58.1327;538.8456;506.1607;8.1139;0.9991;2019-11-25_07_SNAC061901_src.csv;SNAC061901;20/11/2019;1.99;1.39;True;;;;;Noise:18.4345. Treshold: 300. s: [0.0248];True;;;;;Noise:35.0. Treshold: 100. s: [0.0099];False;;Probable lost of calibration. Too few pics in the signal;;Calibration lost: very low variations. Please control it;Noise:0.0. Treshold: 100. s: 0.005;4.6;;;9.59;6.07;;;4.6;9.59;6.07;;;;;;7.9;;;;4.6;9.59;6.07;;;;;0 days 00:03:10.381783;0.00903;0.25435;;;;;;;;;0 days 00:12:45.042639;0.02096;0.19428;0.00712;;;;;1.4136;yes_run;0.00255;0.00137;0.0014;0.0025;0.00244;-0.00022;0.00006;-0.00021;0.00037;-0.00015;0.00255;0.00124;0.00149;0.00235;0.00244;-0.00022;0.00037;-0.00035;0.00069;-0.00015;153;129;;8062
INRA_V1A_20191128_3;26.3391;;;;;;;438985;;;6396;0;2019-11-28_03_SNAC061901_src.csv;SNAC061901;28/11/19;2;1.09;False;;;;;Too many outliers;True;;;;;Noise:20.0. Treshold: 100. s: [0.0099];False;;;;Calibration lost: strictly positive for pH>8. Please control it;Noise:0.0369. Treshold: 100. s: 0.2;;;10.24;7.33;4.21;;;;;;10.24;7.33;4.66;;;2.87;;3.76;;4.8;9.4;6.06;10.24;7.33;;;;;;;;;;;;;;0 days 00:00:06.051317;0.2;;0.3;0.2;0.2;;;15;yes_run;3097.8859;923.96849;924.10152;5428.31023;2386.67874;1365.32847;923.96848;924.10151;2367.76645;1168.49053;3097.8859;923.98899;924.11637;5685.83405;2386.67874;1365.32847;923.98899;924.11635;2512.61894;1168.49053;192;1003;;43843
INRA_V1A_20191204_7;1.1141;3.3297;9.1042;8.0477;12.2229;0.6584;14.2689;18.5694;237.8381;182084;7.9506;2.0224;2019-12-04_07_SNAC061901_src.csv;SNAC061901;04/12/19;2;1.19;True;;;;;Noise:22.0107. Treshold: 300. s: [0.0205];True;;;;;Noise:42.3571. Treshold: 100. s: [0.0456];True;;;;;Noise:0.0054. Treshold: 100. s: 0.05;;;;9.64;4.06;;;;9.64;;4.06;;;9.62;5.86;3.95;6.11;;;4.81;9.63;5.86;4;;;;0 days 00:01:36.954720;0.03101;0.09104;;;;;;;;;0 days 00:09:16.363162;0.00777;0.0996;0.00501;0.00437;;;;8.05744;yes_run;0.0046;0.00112;0.00163;0.00562;0.00419;0.00004;0.00003;0.00097;0.00002;0.0004;0.00461;0.00141;0.00144;0.00507;0.00419;0.00004;0.00022;0.00074;0.00059;0.0004;152;238;;14875
INRA_V1A_20191205_3;;;12.7605;14.0638;17.2173;0.8168;20.7929;;;255.2113;7.7885;0.1241;2019-12-05_03_SNAC061901_src.csv;SNAC061901;04/12/19;1.99;1.27;True;;;;;Noise:64.7085. Treshold: 300. s: [0.081];False;;too many pics in important section(s) of the signal;;;Noise:191.527. Treshold: 100. s: [0.0291];False;;too many pics in important section(s) of the signal;;;Noise:0.0034. Treshold: 100. s: 0.05;4.83;6.4;;4.45;9.65;;;4.83;9.65;5.99;4.15;5.44;4.61;9.44;6.51;;9.48;;9.58;;;;;;;;0 days 00:02:39.060747;0.05244;0.12824;;;;;;;;;;;;;;;;;;no_run;;;;;;;;;;;;;;;;;;;;;1146;;;
INRA_V1A_20191205_4;1.9959;4.8274;20.1113;11.0984;22.2231;0.4994;25.0447;33.2655;344.8169;402.2265;8262;1.0955;2019-12-05_04_SNAC061901_src.csv;SNAC061901;04/12/19;2.03;1.31;True;;;;;Noise:15.0. Treshold: 300. s: [0.0099];True;;;;;Noise:44.9695. Treshold: 100. s: [0.0399];False;;too many pics in important section(s) of the signal;;;Noise:0.0025. Treshold: 100. s: 0.05;4.87;;;9.59;;;;4.87;9.59;;;;4.8;9.39;6.04;;;8.78;;4.87;9.59;6.07;;;;;0 days 00:02:35.300030;0.04726;0.19814;;;;;;;;;0 days 00:21:07.916024;0.0125;0.12961;0.00363;;;;;4.32073;yes_run;0.0049;0.00061;0.00068;0.00595;0.00457;-0.00035;0.00009;0.00004;-0.00007;-0.00014;0.00491;0.00071;0.00082;0.00564;0.00457;-0.00035;0.0002;-0.00009;0.00032;-0.00014;1147;157;;9812
